level_0,ID,Marital Status,Application mode,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Gender,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Target
249,4135,1_,1_,8014_,0_,1_,1_,38_,38_,9_,7_,0_,0_,0,6,8,5,Graduate
250,3468,1_,1_,9991_,0_,1_,1_,37_,37_,9_,9_,0_,0_,0,5,11,5,Enrolled
251,3894,1_,1_,9500_,1_,1_,41_,1_,1_,9_,6_,0_,0_,0,7,11,4,Enrolled
252,1447,1_,17_,9119_,1_,1_,1_,1_,19_,4_,3_,0_,1_,0,5,9,4,Dropout
253,486,1_,43_,9670_,1_,1_,1_,38_,19_,4_,3_,0_,0_,4,6,7,6,Dropout
254,3716,1_,44_,9130_,1_,39_,1_,4_,4_,2_,10_,0_,1_,1,5,8,2,Dropout
255,1291,1_,1_,9500_,1_,1_,1_,38_,38_,9_,9_,0_,1_,0,8,8,7,Graduate
256,3037,1_,1_,9670_,1_,1_,1_,1_,1_,9_,10_,0_,0_,0,6,6,6,Graduate
257,2146,1_,1_,9070_,1_,1_,1_,37_,37_,9_,6_,0_,0_,0,6,7,5,Graduate
258,3151,1_,1_,171_,1_,1_,1_,3_,1_,4_,4_,0_,0_,0,0,0,0,Dropout
259,4146,2_,39_,9500_,1_,19_,1_,37_,38_,9_,10_,0_,0_,0,7,12,4,Dropout
260,111,1_,17_,9147_,1_,1_,1_,1_,38_,4_,7_,0_,0_,0,5,9,3,Enrolled
261,2018,1_,1_,9254_,1_,1_,1_,19_,19_,5_,5_,0_,0_,0,6,8,5,Enrolled
262,4386,1_,17_,9670_,1_,1_,1_,37_,38_,8_,7_,0_,0_,0,5,7,3,Dropout
263,407,1_,39_,9991_,0_,40_,1_,1_,19_,9_,9_,0_,0_,0,5,5,5,Graduate
264,1488,1_,43_,8014_,0_,1_,1_,19_,37_,8_,5_,0_,1_,0,6,13,0,Dropout
265,2197,1_,43_,9070_,1_,1_,1_,1_,1_,4_,7_,0_,1_,3,6,7,3,Enrolled
266,3187,1_,1_,9500_,1_,1_,1_,19_,19_,4_,5_,0_,1_,0,7,9,0,Dropout
267,1926,1_,1_,9085_,1_,1_,1_,38_,19_,9_,4_,0_,0_,0,5,7,5,Graduate
268,2039,1_,1_,9238_,1_,1_,1_,38_,19_,7_,7_,0_,0_,0,6,6,6,Graduate
269,661,1_,1_,9500_,1_,1_,1_,19_,19_,194_,193_,0_,0_,0,7,12,5,Enrolled
270,3411,1_,17_,9500_,1_,1_,1_,38_,37_,9_,5_,0_,0_,0,8,8,7,Graduate
271,1122,1_,42_,9500_,1_,1_,1_,1_,19_,4_,8_,0_,0_,4,7,9,7,Graduate
272,993,1_,44_,9238_,1_,39_,1_,3_,19_,4_,9_,0_,0_,3,6,6,6,Graduate
273,1692,1_,1_,9500_,1_,1_,1_,37_,38_,9_,9_,0_,1_,0,7,7,7,Graduate
274,2064,1_,17_,9147_,1_,1_,1_,38_,19_,9_,9_,0_,0_,0,5,5,5,Graduate
275,3202,1_,1_,9773_,1_,1_,1_,5_,3_,4_,4_,0_,1_,0,6,7,6,Enrolled
276,1273,2_,51_,9853_,1_,1_,1_,37_,37_,7_,8_,0_,0_,0,7,7,0,Dropout
277,4103,1_,1_,9147_,1_,1_,1_,1_,19_,4_,9_,0_,0_,0,5,5,5,Enrolled
278,2597,1_,43_,171_,1_,1_,1_,19_,38_,9_,9_,0_,0_,0,0,0,0,Dropout
279,1707,1_,1_,9147_,1_,1_,1_,1_,38_,8_,9_,0_,1_,0,5,5,4,Enrolled
280,4364,1_,17_,9238_,1_,1_,1_,37_,37_,9_,9_,0_,0_,0,6,9,4,Enrolled
281,1508,1_,43_,9070_,1_,1_,1_,19_,37_,7_,7_,0_,1_,9,13,13,13,Graduate
282,3741,1_,39_,9119_,1_,1_,1_,37_,19_,9_,3_,0_,1_,0,5,16,3,Enrolled
283,2742,1_,1_,9238_,1_,1_,1_,37_,37_,4_,4_,0_,0_,0,6,7,6,Graduate
284,3968,1_,44_,9085_,1_,39_,1_,3_,19_,2_,4_,0_,0_,1,6,9,6,Graduate
285,3164,1_,1_,9085_,1_,1_,1_,19_,37_,9_,9_,0_,0_,0,5,9,5,Graduate
286,2015,1_,1_,9238_,1_,1_,1_,19_,19_,6_,6_,0_,0_,0,6,6,6,Graduate
287,3903,2_,39_,9147_,1_,1_,1_,38_,37_,4_,7_,0_,0_,0,5,12,3,Dropout
288,3938,1_,1_,9500_,1_,1_,1_,19_,1_,5_,5_,0_,0_,0,7,7,7,Graduate
289,4285,1_,1_,9147_,1_,1_,1_,3_,2_,2_,2_,0_,1_,1,5,10,4,Enrolled
290,1563,1_,44_,9130_,1_,39_,1_,19_,19_,5_,5_,0_,0_,1,6,11,3,Enrolled
291,330,1_,1_,9853_,1_,1_,1_,1_,38_,9_,6_,0_,0_,0,7,12,5,Enrolled
292,557,1_,1_,171_,1_,1_,1_,37_,37_,9_,9_,0_,1_,0,0,0,0,Graduate
293,2012,5_,39_,9853_,1_,19_,1_,38_,1_,5_,3_,0_,0_,0,6,7,5,Dropout
294,3279,4_,39_,8014_,0_,1_,1_,37_,37_,9_,8_,0_,0_,0,6,18,2,Graduate
295,2421,2_,39_,9991_,0_,19_,1_,37_,37_,5_,5_,0_,1_,0,5,5,0,Dropout
296,778,1_,17_,9853_,1_,1_,1_,3_,3_,132_,132_,0_,0_,0,7,9,6,Enrolled
297,1720,1_,17_,9085_,1_,1_,1_,38_,37_,9_,9_,0_,1_,0,5,6,5,Graduate
298,4078,2_,39_,9991_,0_,1_,1_,38_,19_,4_,8_,0_,0_,0,5,5,5,Graduate
299,32,1_,1_,9147_,1_,1_,1_,1_,1_,4_,6_,0_,1_,0,5,9,3,Enrolled
300,769,1_,17_,9670_,1_,1_,1_,19_,19_,5_,5_,0_,1_,0,6,6,6,Graduate
301,592,1_,44_,9670_,1_,39_,1_,37_,1_,9_,4_,0_,0_,2,6,9,6,Graduate
302,3704,1_,18_,9670_,1_,1_,1_,37_,38_,4_,1_,0_,1_,0,6,6,6,Graduate
303,1352,1_,1_,9070_,1_,1_,1_,1_,19_,4_,3_,0_,0_,0,6,6,6,Graduate
304,3247,1_,17_,9085_,1_,1_,1_,1_,38_,4_,7_,0_,0_,0,6,7,6,Graduate
305,1854,1_,39_,9085_,1_,1_,1_,37_,37_,90_,90_,0_,1_,0,5,7,2,Dropout
306,931,1_,1_,9853_,1_,1_,1_,19_,38_,9_,9_,0_,0_,0,7,10,6,Graduate
307,940,1_,1_,9773_,1_,1_,1_,19_,19_,5_,5_,0_,0_,0,6,6,6,Graduate
308,2842,2_,39_,9070_,1_,1_,1_,3_,1_,2_,5_,0_,0_,1,6,8,6,Graduate
